"filename", "language", "JSON", "Properties", "Dart", "YAML", "XML", "JavaScript", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\EditarPerfil.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\programas\exa_gammer_movil\lib\ui\home\widget\editar.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, -1, 5
"c:\programas\exa_gammer_movil\lib\ui\home\widget\listaperso.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\programas\exa_gammer_movil\scripts_k6\cargar_examen.js", "JavaScript", 0, 0, 0, 0, 0, -22, -8, -9, -39
"c:\programas\exa_gammer_movil\scripts_k6\login_rol.js", "JavaScript", 0, 0, 0, 0, 0, -23, -7, -7, -37
"c:\programas\exa_gammer_movil\scripts_k6\prueba_clase.js", "JavaScript", 0, 0, 0, 0, 0, -27, -5, -6, -38
"c:\programas\exa_gammer_movil\scripts_k6\registrar_usuario.js", "JavaScript", 0, 0, 0, 0, 0, -26, -7, -6, -39
"c:\programas\exa_gammer_movil\scripts_k6\unirse_clase.js", "JavaScript", 0, 0, 0, 0, 0, -25, -7, -6, -38
"c:\programas\exa_gammer_movil\sonar-project.properties", "Properties", 0, 8, 0, 0, 0, 0, 5, 5, 18
"c:\programas\exa_gammer_movil\sonar-result.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 5, 8, 254, 57, -1, -123, -566, 12, -354
