"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\glass_card.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\logo_header.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 2, 78
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\add_user.dart", "Dart", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 9, 15, 178
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\diseologin.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\login.dart", "Dart", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 19, 17, 194
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\empty_examenes_widget.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\examen_card.dart", "Dart", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 9, 154
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\examenesListView.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 5, 74
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\detalle_clase_profe.dart", "Dart", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 12, 222
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\home_profesor.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 10, 157
